654 CASSAT AVE,Normandy
5405 66TH ST N,West Lealman
5001 ROSS AVE,Old East Dallas
12300 JONES RD,None
11914 ASTORIA BLVD  STE 185,None
1142 W GUADALUPE RD,Alma School
20800 US HIGHWAY 281 N,Encino Park
3803 S ORLANDO DR,None
3755 ATASCOCITA RD,None
1683 MAIN ST,Windsor Urgent Care
799 LOUIS HENNA BLVD,Round Rock
20675 FM 1093 RD,Richmond North
9200 CONROY WINDERMERE RD,Windermere
6393 BABCOCK RD,Babcock
2000 GARTH RD,Baytown
620 N PONTIAC TRAIL,Pontiac Trail
39475 LEWIS DR,Novi
9365 COUNSELORS ROW,None
20675 FARM TO MARKET 1093,None
955 S WINTER PARK DR,Casselberry
5601 N HIAWASSEE RD,Hiawassee
5015 S ARIZONA MILLS CIR,Tempe West
400 W BLACK HORSE PIKE,None
2300 E PARK BLVD,Plano East
7018 MASSACHUSETTS AVE,New Port Richey
2710 NOGALITOS,Palm Heights
105 JULINGTON PLAZA DR,Fruit Cove
620 N. PONTIAC TRAIL,None
3425 53RD AVE W,Brandenton
75 MARKET ST,Rockland
9230 E. MAIN ST.,None
1260 NW 35TH ST,None
12120 JONES RD,None
220 N STAPLEY DR,None
1107 S LEMAY AVE,Lemay
342 S MILWAUKEE AVE,Wheeling
10405 N LA CANADA DR,Oro Valley
8309 SOUTHSIDE BLVD,Southside
6242 E ARBOR AVE,None
210 COLLEGE ST,McDonough
2435 E GREENWAY PKWY,None
7015 NARCOOSSEE RD,Vista East
7403 ALOMA AVE,Winter Park
1900 S 6TH AVE,Santa Cruz
1625 RIDENOUR BLVD NW,Kennesaw Southeast
4534 WEST GATE BLVD,None
110 E MCKINLEY AVE,None
4130 LEGACY DR,Legacy
500 MAXEY RD,Northshore
3910 E 22ND STREET,None
4300 CURRY FORD RD,Curry Ford
17800 NEWBURGH ROAD STE 103,None
2121 E HARMONY RD,None
3770 TAMPA RD,Oldsmar
1210 KINGWOOD DR,Kingwood
200 SOUTHERN BREEZE DR,None
11403 E NORTHWEST HWY,Dallas Northeast
2525 W ANDERSON LN,Allandale
12952 BANDERA RD,Bandera Helotes
2703 US HIGHWAY 130,North Brunswick
2411 W ANTHEM WAY,Anthem
429 W PIKE ST,Goshen
450 VETERANS MEMORIAL PKWY,None
2 WAKE ROBIN RD,None
866 DUNN AVE,None
2647 BOX CANYON DR,Box Canyon Primary Care
129 VISION PARK BLVD STE 205,None
2025 BIGHORN RD,None
620 N PONTIAC TRL SPC 3,None
2595 PEACHTREE PKWY,Cumming
12188 N MERIDIAN ST,None
7448 W THUNDERBIRD RD,Peoria Southeast
6025 PROFESSIONAL PKWY,None
7929 KIRBY DR,Braeswood
12201 MONTWOOD DR,Sun Ridge South
600 N SHEPHERD DR,None
39475 LEWIS DRIVE SUITE 200,None
1300 RIVERSIDE AVENUE,None
17800 NEWBURGH RD,Livonia
15875 FM 529 RD,None
4120 SOUTHWEST FWY STE 200,None
610 PLEASANT ST,Brockton West
3550 FRUITVILLE RD,Sarasota East
12300 JONES ROAD,None
11951 N 1ST AVE,Tangerine East
25201 WESLEY CHAPEL BLVD,None
68 MAIN ST,Medway
11250 E VIA LINDA,Scottsdale East
14 JACKSON ST,Methuen East
9055 KATY FWY STE 200,None
155 MEDICAL CENTER WAY,Somers Point Specialty
325 W WALNUT ST,Lebanon
901 E BITTERS ROAD,None
13014 W CAMELBACK RD,Litchfield Park
102 N FRIENDSWOOD DR,North Friendswood
2398 MT VERNON RD DUN,None
3529 E SILVER SPRINGS BLVD,None
176 TOLL GATE RD,None
5781 KYLE PKWY,Kyle
9080 MARBACH RD,Adams Hill
3608 S LAFOUNTAIN ST,Kokomo
1601 MAIN ST STE 301,None
4550 E PALM VALLEY BLVD,Round Rock Northeast
755 S PERRY ST,None
3519 RICHMOND DR,Horsetooth Urgent Care
11010 BLOOMINGDALE AVE,Riverview
418 QUINCY AVE,Quincy East
641 MEACHAM RD,Elk Grove
5545 CYPRESS GARDENS BLVD,Winter Haven
5620 W THUNDERBIRD RD,None
15450 N TATUM BLVD,None
545 VENTURE CT MONTICELLO,None
427 W 20TH ST STE 708,None
1113 OAKRIDGE DR,Oakridge
2774 E ELDORADO PKWY,Eldorado
165 SAMOSET ST,Plymouth
481 KINGSTOWN RD,Wakefield
6996 US HIGHWAY 19 N,None
3030 MAIN ST,None
39475 LEWIS DRIVE STE,None
14127 CYPRESS ROSEHILL RD,None
8951 HUDSON AVE,None
42931 WEST SEVEN MILE,None
9305 S EASTERN AVE,Serene East
